GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AJ6QE001,AJ6QE002,AJ6QE003,AJ6QE004,AJ6QE005,AJ6QE006,AJ6QE007,AJ6QE008,AJ6QE009,AJ6QE010,AJ6QE011,AJ6QE012,AJ6QE013,AJ6QE014,AJ6QE015,AJ6QE016,AJ6QE017,AJ6QE018,AJ6QE019,AJ6QE020,AJ6QE021,AJ6QE022,AJ6QE023,AJ6QE024,AJ6QE025,AJ6QE026,AJ6QE027,AJ6QE028,AJ6QE029,AJ6QE030,AJ6QE031,NAME_M,AJ6QM001,AJ6QM002,AJ6QM003,AJ6QM004,AJ6QM005,AJ6QM006,AJ6QM007,AJ6QM008,AJ6QM009,AJ6QM010,AJ6QM011,AJ6QM012,AJ6QM013,AJ6QM014,AJ6QM015,AJ6QM016,AJ6QM017,AJ6QM018,AJ6QM019,AJ6QM020,AJ6QM021,AJ6QM022,AJ6QM023,AJ6QM024,AJ6QM025,AJ6QM026,AJ6QM027,AJ6QM028,AJ6QM029,AJ6QM030,AJ6QM031
"G3115","2014-2018",,,,,,,,,"Redwood Valley Rancheria, CA","3115",,,,,,,,,,,,,,,,,,,,,,"Redwood Valley Rancheria, CA",110,40,3,8,0,0,0,0,5,4,2,3,4,9,2,0,70,3,0,0,0,0,7,12,2,13,9,17,7,0,0,"Redwood Valley Rancheria, CA",49,23,5,12,12,12,12,12,11,6,5,4,5,9,4,12,33,6,12,12,12,12,11,11,3,12,8,14,9,12,12
"G3130","2014-2018",,,,,,,,,"Reno-Sparks Indian Colony and Off-Reservation Trust Land, NV","3130",,,,,,,,,,,,,,,,,,,,,,"Reno-Sparks Indian Colony and Off-Reservation Trust Land, NV",920,460,43,59,48,17,12,44,41,46,42,41,43,16,5,3,460,58,38,28,33,11,25,55,24,56,38,40,21,28,5,"Reno-Sparks Indian Colony and Off-Reservation Trust Land, NV",155,88,25,25,23,13,14,26,26,23,22,18,22,11,7,5,94,29,22,15,19,10,17,30,14,23,21,17,13,15,7
"G3145","2014-2018",,,,,,,,,"Resighini Rancheria, CA","3145",,,,,,,,,,,,,,,,,,,,,,"Resighini Rancheria, CA",13,7,1,2,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,2,0,0,0,0,0,1,0,3,0,0,0,"Resighini Rancheria, CA",10,6,2,3,12,12,12,12,12,12,12,3,3,12,12,12,7,12,12,3,12,12,12,12,12,3,12,4,12,12,12
"G3165","2014-2018",,,,,,,,,"Rincon Reservation and Off-Reservation Trust Land, CA","3165",,,,,,,,,,,,,,,,,,,,,,"Rincon Reservation and Off-Reservation Trust Land, CA",444,200,8,19,20,14,2,16,29,14,22,22,21,11,2,0,244,14,29,19,6,4,19,24,21,10,29,23,30,11,5,"Rincon Reservation and Off-Reservation Trust Land, CA",103,51,8,10,11,10,3,11,23,12,13,11,12,8,4,12,64,11,15,12,6,7,16,13,13,8,15,12,13,9,6
"G3185","2014-2018",,,,,,,,,"Roaring Creek Rancheria, CA","3185",,,,,,,,,,,,,,,,,,,,,,"Roaring Creek Rancheria, CA",19,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,16,6,4,2,0,0,0,2,0,2,0,0,0,0,0,"Roaring Creek Rancheria, CA",25,6,4,12,12,12,12,12,12,4,12,12,12,12,12,12,21,9,7,3,12,12,12,3,12,3,12,12,12,12,12
"G3195","2014-2018",,,,,,,,,"Robinson Rancheria and Off-Reservation Trust Land, CA","3195",,,,,,,,,,,,,,,,,,,,,,"Robinson Rancheria and Off-Reservation Trust Land, CA",288,164,26,15,30,27,1,1,8,9,18,13,4,3,4,5,124,20,14,11,12,1,6,1,2,8,28,11,4,4,2,"Robinson Rancheria and Off-Reservation Trust Land, CA",128,76,34,14,22,22,4,3,11,10,21,15,8,5,6,10,62,27,16,12,12,3,10,3,5,10,24,14,7,7,4
"G3205","2014-2018",,,,,,,,,"Rocky Boy's Reservation and Off-Reservation Trust Land, MT","3205",,,,,,,,,,,,,,,,,,,,,,"Rocky Boy's Reservation and Off-Reservation Trust Land, MT",3428,1622,226,157,132,101,73,80,127,112,173,197,138,81,25,0,1806,180,192,212,122,38,152,143,138,178,167,143,88,50,3,"Rocky Boy's Reservation and Off-Reservation Trust Land, MT",206,123,46,37,39,36,31,32,30,33,40,41,29,20,13,10,159,52,39,44,28,20,49,42,54,43,36,33,23,18,5
"G3220","2014-2018",,,,,,,,,"Rohnerville Rancheria, CA","3220",,,,,,,,,,,,,,,,,,,,,,"Rohnerville Rancheria, CA",9,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,1,0,0,0,0,0,0,3,2,0,0,0,"Rohnerville Rancheria, CA",7,4,12,12,12,12,12,12,12,12,12,12,4,12,12,12,7,12,12,4,12,12,12,12,12,12,5,3,12,12,12
"G3235","2014-2018",,,,,,,,,"Rosebud Indian Reservation and Off-Reservation Trust Land, SD","3235",,,,,,,,,,,,,,,,,,,,,,"Rosebud Indian Reservation and Off-Reservation Trust Land, SD",9556,4723,554,547,600,302,180,378,397,295,479,399,373,151,47,21,4833,619,596,494,295,131,346,378,321,532,456,374,168,91,32,"Rosebud Indian Reservation and Off-Reservation Trust Land, SD",229,131,58,78,77,28,18,37,25,25,57,38,36,21,17,17,124,55,67,78,22,22,18,30,13,39,35,23,23,26,23
"G3250","2014-2018",,,,,,,,,"Round Valley Reservation and Off-Reservation Trust Land, CA","3250",,,,,,,,,,,,,,,,,,,,,,"Round Valley Reservation and Off-Reservation Trust Land, CA",298,154,8,8,13,9,14,10,19,8,18,29,7,4,7,0,144,6,5,6,10,3,6,6,3,32,16,9,31,11,0,"Round Valley Reservation and Off-Reservation Trust Land, CA",95,55,9,6,9,9,12,14,15,9,13,19,6,8,7,12,50,7,6,7,10,4,8,6,3,15,11,8,18,9,12
