GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,ABK3E001,ABK3E002,ABK3E003,ABK3E004,ABK3E005,ABK3E006,ABK3E007,ABK3E008,ABK3E009,ABK3E010,ABK3E011,ABK3E012,ABK3E013,ABK3E014,ABK3E015,ABK3E016,ABK3E017,ABK3E018,ABK3E019,ABK3E020,ABK3E021,ABK3E022,ABK3E023,ABK3E024,ABK3E025,ABK3E026,ABK3E027,ABK3E028,ABK3E029,ABK3E030,ABK3E031,NAME_M,ABK3M001,ABK3M002,ABK3M003,ABK3M004,ABK3M005,ABK3M006,ABK3M007,ABK3M008,ABK3M009,ABK3M010,ABK3M011,ABK3M012,ABK3M013,ABK3M014,ABK3M015,ABK3M016,ABK3M017,ABK3M018,ABK3M019,ABK3M020,ABK3M021,ABK3M022,ABK3M023,ABK3M024,ABK3M025,ABK3M026,ABK3M027,ABK3M028,ABK3M029,ABK3M030,ABK3M031
"G1840","2010-2014",,,,,,,,,"Laguna Pueblo and Off-Reservation Trust Land, NM","1840",,,,,,,,,,,,,,,,,,,,,,"Laguna Pueblo and Off-Reservation Trust Land, NM",3766,1899,160,124,96,122,77,138,120,137,223,251,224,139,75,13,1867,120,134,137,39,73,187,89,136,230,169,226,147,106,74,"Laguna Pueblo and Off-Reservation Trust Land, NM",380,250,63,52,39,55,35,51,53,50,65,74,66,52,30,22,197,44,50,46,32,30,53,48,40,63,59,63,62,44,40
"G1850","2010-2014",,,,,,,,,"La Jolla Reservation, CA","1850",,,,,,,,,,,,,,,,,,,,,,"La Jolla Reservation, CA",276,151,13,12,5,15,16,26,8,9,20,15,6,3,3,0,125,3,18,12,4,5,17,2,7,16,14,17,4,0,6,"La Jolla Reservation, CA",86,51,10,9,5,16,16,17,9,7,12,12,6,4,4,12,47,4,11,11,5,8,12,3,7,11,11,9,5,12,6
"G1860","2010-2014",,,,,,,,,"Lake Traverse Reservation and Off-Reservation Trust Land, SD--ND","1860",,,,,,,,,,,,,,,,,,,,,,"Lake Traverse Reservation and Off-Reservation Trust Land, SD--ND",4152,2027,285,218,207,130,76,161,134,106,218,189,184,97,22,0,2125,241,156,264,134,75,167,140,126,224,205,212,114,50,17,"Lake Traverse Reservation and Off-Reservation Trust Land, SD--ND",164,103,30,50,53,16,10,62,24,19,22,13,22,19,12,18,94,35,52,64,25,16,22,20,24,22,14,22,30,21,17
"G1880","2010-2014",,,,,,,,,"L'Anse Reservation and Off-Reservation Trust Land, MI","1880",,,,,,,,,,,,,,,,,,,,,,"L'Anse Reservation and Off-Reservation Trust Land, MI",374,221,52,52,10,9,1,6,4,6,11,31,27,8,4,0,153,27,3,8,3,1,9,7,4,13,17,29,25,5,2,"L'Anse Reservation and Off-Reservation Trust Land, MI",236,123,23,30,9,20,3,8,12,8,36,35,30,13,6,10,119,12,8,20,9,3,25,12,5,15,28,34,23,7,4
"G1895","2010-2014",,,,,,,,,"La Posta Indian Reservation, CA","1895",,,,,,,,,,,,,,,,,,,,,,"La Posta Indian Reservation, CA",27,12,1,6,0,2,0,0,0,0,3,0,0,0,0,0,15,2,6,2,0,3,0,0,0,2,0,0,0,0,0,"La Posta Indian Reservation, CA",31,14,4,9,12,4,12,12,12,12,5,12,12,12,12,12,17,3,8,3,12,6,12,12,12,3,12,12,12,12,12
"G1915","2010-2014",,,,,,,,,"Las Vegas Indian Colony, NV","1915",,,,,,,,,,,,,,,,,,,,,,"Las Vegas Indian Colony, NV",120,62,21,0,0,3,8,14,0,0,6,8,2,0,0,0,58,8,0,2,2,0,11,11,5,1,8,0,6,4,0,"Las Vegas Indian Colony, NV",96,54,28,13,13,7,11,18,13,13,8,10,4,13,13,13,44,11,13,4,3,13,15,12,7,2,11,13,11,7,13
"G1925","2010-2014",,,,,,,,,"Laytonville Rancheria, CA","1925",,,,,,,,,,,,,,,,,,,,,,"Laytonville Rancheria, CA",222,140,13,6,6,8,0,16,8,3,35,16,21,8,0,0,82,2,18,6,21,0,5,3,4,8,7,6,2,0,0,"Laytonville Rancheria, CA",100,64,13,6,11,13,12,23,12,4,28,17,18,11,12,12,54,3,27,10,18,12,6,4,6,13,8,9,4,12,12
"G1940","2010-2014",,,,,,,,,"Leech Lake Reservation and Off-Reservation Trust Land, MN","1940",,,,,,,,,,,,,,,,,,,,,,"Leech Lake Reservation and Off-Reservation Trust Land, MN",4228,2017,199,244,262,93,57,135,114,143,164,232,224,120,26,4,2211,235,208,170,126,68,222,168,107,194,277,234,144,33,25,"Leech Lake Reservation and Off-Reservation Trust Land, MN",242,148,36,40,56,25,17,54,34,22,27,37,34,21,9,4,137,24,51,41,28,12,54,33,27,32,35,37,19,14,14
"G1955","2010-2014",,,,,,,,,"Likely Rancheria, CA","1955",,,,,,,,,,,,,,,,,,,,,,"Likely Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Likely Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G1960","2010-2014",,,,,,,,,"Little River Reservation and Off-Reservation Trust Land, MI","1960",,,,,,,,,,,,,,,,,,,,,,"Little River Reservation and Off-Reservation Trust Land, MI",60,39,3,5,0,0,0,3,3,0,17,4,3,1,0,0,21,4,3,0,0,0,0,4,0,4,2,3,1,0,0,"Little River Reservation and Off-Reservation Trust Land, MI",42,32,4,8,10,10,10,6,5,10,22,5,7,3,10,10,15,10,6,10,10,10,10,6,10,6,5,5,2,10,10
"G1963","2010-2014",,,,,,,,,"Little Traverse Bay Reservation and Off-Reservation Trust Land, MI","1963",,,,,,,,,,,,,,,,,,,,,,"Little Traverse Bay Reservation and Off-Reservation Trust Land, MI",49,25,2,0,0,0,0,0,0,1,1,14,3,2,0,2,24,4,2,1,0,0,3,0,2,2,0,0,0,0,10,"Little Traverse Bay Reservation and Off-Reservation Trust Land, MI",25,16,3,10,10,10,10,10,10,2,2,14,4,4,10,4,18,7,3,3,10,10,5,10,3,4,10,10,10,10,12
"G1970","2010-2014",,,,,,,,,"Lone Pine Reservation, CA","1970",,,,,,,,,,,,,,,,,,,,,,"Lone Pine Reservation, CA",166,68,7,12,5,8,6,5,1,6,2,4,8,3,1,0,98,3,9,9,3,4,8,6,3,11,10,18,8,3,3,"Lone Pine Reservation, CA",53,26,8,11,5,11,7,8,3,8,3,4,7,5,3,12,32,3,9,9,4,5,7,9,7,10,8,12,7,5,4
"G1980","2010-2014",,,,,,,,,"Lookout Rancheria, CA","1980",,,,,,,,,,,,,,,,,,,,,,"Lookout Rancheria, CA",3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Lookout Rancheria, CA",7,5,12,12,12,12,12,4,12,12,12,3,12,12,12,12,4,12,12,12,12,12,12,12,12,4,12,12,12,12,12
"G1995","2010-2014",,,,,,,,,"Los Coyotes Reservation, CA","1995",,,,,,,,,,,,,,,,,,,,,,"Los Coyotes Reservation, CA",43,20,0,0,1,4,0,0,3,3,2,2,4,1,0,0,23,3,2,3,0,0,2,0,2,0,5,4,2,0,0,"Los Coyotes Reservation, CA",22,11,12,12,3,5,12,12,4,4,3,3,5,4,12,12,13,3,4,4,12,12,5,12,3,12,4,5,3,12,12
"G2015","2010-2014",,,,,,,,,"Lovelock Indian Colony, NV","2015",,,,,,,,,,,,,,,,,,,,,,"Lovelock Indian Colony, NV",75,38,7,4,4,0,1,2,1,1,4,2,11,1,0,0,37,2,4,3,1,0,1,0,9,6,0,7,0,4,0,"Lovelock Indian Colony, NV",44,35,7,6,6,13,3,6,3,3,9,5,14,2,13,13,20,4,5,4,2,13,2,13,11,8,13,9,13,7,13
"G2030","2010-2014",,,,,,,,,"Lower Brule Reservation and Off-Reservation Trust Land, SD","2030",,,,,,,,,,,,,,,,,,,,,,"Lower Brule Reservation and Off-Reservation Trust Land, SD",1380,728,91,91,62,47,27,60,64,38,89,76,55,24,4,0,652,76,72,59,29,19,60,45,56,68,59,64,32,10,3,"Lower Brule Reservation and Off-Reservation Trust Land, SD",75,45,12,22,19,10,15,21,5,12,17,16,9,5,5,9,41,14,15,13,15,12,14,9,9,12,11,3,7,3,3
"G2040","2010-2014",,,,,,,,,"Lower Elwha Reservation and Off-Reservation Trust Land, WA","2040",,,,,,,,,,,,,,,,,,,,,,"Lower Elwha Reservation and Off-Reservation Trust Land, WA",644,297,20,43,7,48,14,16,20,25,31,29,31,9,4,0,347,28,31,20,16,47,18,11,24,39,66,22,9,16,0,"Lower Elwha Reservation and Off-Reservation Trust Land, WA",156,88,12,30,10,46,16,14,17,18,16,16,16,9,7,12,83,21,27,14,14,25,15,9,22,28,39,13,8,15,12
"G2055","2010-2014",,,,,,,,,"Lower Sioux Indian Community, MN","2055",,,,,,,,,,,,,,,,,,,,,,"Lower Sioux Indian Community, MN",311,164,3,17,20,10,32,3,17,13,13,17,6,12,1,0,147,33,21,14,6,1,10,7,3,8,20,16,5,3,0,"Lower Sioux Indian Community, MN",87,47,5,11,13,10,22,5,11,9,11,12,6,10,2,9,51,19,12,10,6,3,10,7,4,7,16,16,6,4,9
"G2070","2010-2014",,,,,,,,,"Lummi Reservation, WA","2070",,,,,,,,,,,,,,,,,,,,,,"Lummi Reservation, WA",2321,1113,61,74,113,92,47,120,62,101,109,189,68,46,28,3,1208,155,134,95,39,67,42,90,75,119,214,96,55,27,0,"Lummi Reservation, WA",335,197,35,34,37,43,43,60,30,41,64,59,36,35,24,5,178,57,49,40,34,43,29,41,34,39,58,49,27,22,12
"G2075","2010-2014",,,,,,,,,"Lytton Rancheria, CA","2075",,,,,,,,,,,,,,,,,,,,,,"Lytton Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lytton Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G2085","2010-2014",,,,,,,,,"Makah Indian Reservation, WA","2085",,,,,,,,,,,,,,,,,,,,,,"Makah Indian Reservation, WA",1196,607,61,31,58,34,23,54,43,27,76,88,64,40,8,0,589,58,61,52,26,19,48,8,57,95,66,54,26,19,0,"Makah Indian Reservation, WA",174,108,26,21,27,24,20,34,26,22,25,34,27,26,8,12,108,34,25,26,17,21,31,6,28,39,30,29,17,16,12
"G2100","2010-2014",,,,,,,,,"Manchester-Point Arena Rancheria, CA","2100",,,,,,,,,,,,,,,,,,,,,,"Manchester-Point Arena Rancheria, CA",264,155,30,25,13,3,3,0,17,17,2,14,18,5,8,0,109,9,15,8,3,0,2,18,3,10,12,11,6,11,1,"Manchester-Point Arena Rancheria, CA",101,66,26,18,9,8,5,12,24,14,4,13,17,6,11,12,51,9,14,8,7,12,3,18,6,10,14,8,6,15,4
"G2115","2010-2014",,,,,,,,,"Manzanita Reservation and Off-Reservation Trust Land, CA","2115",,,,,,,,,,,,,,,,,,,,,,"Manzanita Reservation and Off-Reservation Trust Land, CA",45,21,4,3,0,0,0,0,6,6,2,0,0,0,0,0,24,3,2,7,1,0,0,4,4,2,0,1,0,0,0,"Manzanita Reservation and Off-Reservation Trust Land, CA",25,13,4,4,12,12,12,12,7,8,4,12,12,12,12,12,18,4,3,8,4,12,12,5,5,3,12,4,12,12,12
"G2130","2010-2014",,,,,,,,,"Maricopa (Ak Chin) Indian Reservation, AZ","2130",,,,,,,,,,,,,,,,,,,,,,"Maricopa (Ak Chin) Indian Reservation, AZ",1127,486,52,55,50,31,20,33,37,19,107,45,13,24,0,0,641,91,48,62,21,20,40,64,32,123,58,57,19,5,1,"Maricopa (Ak Chin) Indian Reservation, AZ",344,155,28,41,35,34,25,25,18,16,66,27,11,16,13,13,227,55,30,49,21,18,41,39,27,57,34,36,21,8,4
"G2145","2010-2014",,,,,,,,,"Mashantucket Pequot Reservation and Off-Reservation Trust Land, CT","2145",,,,,,,,,,,,,,,,,,,,,,"Mashantucket Pequot Reservation and Off-Reservation Trust Land, CT",122,46,6,1,10,2,1,2,4,7,5,3,1,3,0,1,76,9,15,8,3,3,11,8,5,3,3,3,2,3,0,"Mashantucket Pequot Reservation and Off-Reservation Trust Land, CT",76,28,7,3,13,5,3,3,5,9,7,8,3,4,12,3,53,11,18,11,5,6,10,11,13,6,4,4,3,4,12
"G2150","2010-2014",,,,,,,,,"Match-e-be-nash-she-wish Band of Pottawatomi Reservation, MI","2150",,,,,,,,,,,,,,,,,,,,,,"Match-e-be-nash-she-wish Band of Pottawatomi Reservation, MI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Match-e-be-nash-she-wish Band of Pottawatomi Reservation, MI",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"G2175","2010-2014",,,,,,,,,"Menominee Reservation and Off-Reservation Trust Land, WI","2175",,,,,,,,,,,,,,,,,,,,,,"Menominee Reservation and Off-Reservation Trust Land, WI",3399,1708,182,203,171,103,94,162,98,81,178,189,151,45,46,5,1691,177,212,124,48,56,135,121,123,180,241,141,72,57,4,"Menominee Reservation and Off-Reservation Trust Land, WI",203,114,47,48,55,21,26,23,19,12,33,42,22,22,28,8,135,24,50,48,24,13,35,21,20,30,42,31,32,12,5
"G2190","2010-2014",,,,,,,,,"Mesa Grande Reservation, CA","2190",,,,,,,,,,,,,,,,,,,,,,"Mesa Grande Reservation, CA",70,27,7,0,5,4,1,0,2,6,0,2,0,0,0,0,43,7,5,3,0,4,0,9,0,0,6,7,0,0,2,"Mesa Grande Reservation, CA",42,17,8,12,8,6,4,12,5,7,12,3,12,12,12,12,28,7,8,6,12,6,12,11,12,12,7,8,12,12,4
"G2205","2010-2014",,,,,,,,,"Mescalero Reservation, NM","2205",,,,,,,,,,,,,,,,,,,,,,"Mescalero Reservation, NM",3454,1638,166,203,211,81,56,175,139,131,208,151,74,33,10,0,1816,223,144,192,88,77,144,177,166,223,206,110,46,14,6,"Mescalero Reservation, NM",242,148,61,47,49,24,44,56,33,22,46,31,44,24,11,12,150,36,44,43,10,43,42,15,21,43,46,39,24,11,7
"G2240","2010-2014",,,,,,,,,"Miccosukee Reservation and Off-Reservation Trust Land, FL","2240",,,,,,,,,,,,,,,,,,,,,,"Miccosukee Reservation and Off-Reservation Trust Land, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Miccosukee Reservation and Off-Reservation Trust Land, FL",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"G2255","2010-2014",,,,,,,,,"Middletown Rancheria, CA","2255",,,,,,,,,,,,,,,,,,,,,,"Middletown Rancheria, CA",9,5,0,0,0,0,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"Middletown Rancheria, CA",11,8,12,12,12,12,12,12,12,12,12,5,4,12,12,12,7,12,12,12,12,12,12,7,12,12,12,12,12,12,12
"G2270","2010-2014",,,,,,,,,"Mille Lacs Reservation and Off-Reservation Trust Land, MN","2270",,,,,,,,,,,,,,,,,,,,,,"Mille Lacs Reservation and Off-Reservation Trust Land, MN",1494,725,65,123,77,28,21,72,35,51,102,60,42,32,17,0,769,111,77,45,29,20,58,45,36,107,106,64,54,15,2,"Mille Lacs Reservation and Off-Reservation Trust Land, MN",188,84,39,26,22,22,16,19,19,14,18,15,8,11,10,12,127,25,32,23,18,13,26,13,25,28,16,15,18,10,3
"G2285","2010-2014",,,,,,,,,"Minnesota Chippewa Trust Land, MN","2285",,,,,,,,,,,,,,,,,,,,,,"Minnesota Chippewa Trust Land, MN",51,27,0,3,2,1,0,2,5,2,4,5,3,0,0,0,24,3,0,4,0,0,0,0,1,5,3,2,4,2,0,"Minnesota Chippewa Trust Land, MN",31,18,9,3,3,5,9,3,10,3,4,7,4,9,9,9,17,4,9,5,9,9,9,9,3,6,6,3,4,2,9
"G2300","2010-2014",,,,,,,,,"Mississippi Choctaw Reservation and Off-Reservation Trust Land, MS","2300",,,,,,,,,,,,,,,,,,,,,,"Mississippi Choctaw Reservation and Off-Reservation Trust Land, MS",6956,3542,383,576,409,259,94,260,273,175,452,361,235,50,8,7,3414,325,494,380,91,136,225,266,213,435,549,164,78,58,0,"Mississippi Choctaw Reservation and Off-Reservation Trust Land, MS",391,253,61,149,99,70,52,80,72,75,135,104,43,33,12,11,255,99,127,115,46,60,75,89,74,100,138,67,40,35,17
"G2315","2010-2014",,,,,,,,,"Moapa River Indian Reservation, NV","2315",,,,,,,,,,,,,,,,,,,,,,"Moapa River Indian Reservation, NV",185,83,15,5,5,8,0,5,2,2,14,11,8,3,5,0,102,0,9,16,2,4,10,3,8,27,2,7,12,2,0,"Moapa River Indian Reservation, NV",60,30,11,6,7,7,13,6,3,3,13,9,10,5,5,13,41,13,9,14,4,6,10,4,7,17,5,7,9,3,13
"G2320","2010-2014",,,,,,,,,"Mohegan Reservation and Off-Reservation Trust Land, CT","2320",,,,,,,,,,,,,,,,,,,,,,"Mohegan Reservation and Off-Reservation Trust Land, CT",9,6,0,0,2,0,0,0,0,1,1,1,0,1,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,"Mohegan Reservation and Off-Reservation Trust Land, CT",12,6,12,12,4,12,12,12,12,3,2,2,12,2,12,12,7,12,12,3,12,12,12,12,12,4,12,12,12,12,12
"G2330","2010-2014",,,,,,,,,"Montgomery Creek Rancheria, CA","2330",,,,,,,,,,,,,,,,,,,,,,"Montgomery Creek Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montgomery Creek Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G2340","2010-2014",,,,,,,,,"Mooretown Rancheria and Off-Reservation Trust Land, CA","2340",,,,,,,,,,,,,,,,,,,,,,"Mooretown Rancheria and Off-Reservation Trust Land, CA",116,60,3,3,3,2,0,2,8,6,20,9,1,0,0,3,56,1,7,6,4,0,2,2,4,10,7,2,1,10,0,"Mooretown Rancheria and Off-Reservation Trust Land, CA",44,24,5,4,7,4,12,3,14,8,15,11,2,12,12,5,31,2,7,8,5,12,5,3,6,9,7,3,4,15,12
"G2360","2010-2014",,,,,,,,,"Morongo Reservation and Off-Reservation Trust Land, CA","2360",,,,,,,,,,,,,,,,,,,,,,"Morongo Reservation and Off-Reservation Trust Land, CA",351,139,12,11,9,9,5,11,24,2,7,14,19,15,1,0,212,23,12,13,2,9,18,32,0,13,41,20,13,10,6,"Morongo Reservation and Off-Reservation Trust Land, CA",105,44,8,9,9,8,5,11,22,3,8,11,13,9,4,12,81,18,12,13,4,11,14,28,12,11,27,12,11,10,6
"G2375","2010-2014",,,,,,,,,"Muckleshoot Reservation and Off-Reservation Trust Land, WA","2375",,,,,,,,,,,,,,,,,,,,,,"Muckleshoot Reservation and Off-Reservation Trust Land, WA",1343,622,78,56,38,30,40,65,35,54,52,67,62,37,8,0,721,106,40,65,43,20,56,105,29,79,67,76,34,1,0,"Muckleshoot Reservation and Off-Reservation Trust Land, WA",309,165,38,29,22,19,29,30,20,30,22,36,28,26,10,12,172,46,28,37,23,13,36,47,18,35,26,44,17,3,12
"G2400","2010-2014",,,,,,,,,"Nambe Pueblo and Off-Reservation Trust Land, NM","2400",,,,,,,,,,,,,,,,,,,,,,"Nambe Pueblo and Off-Reservation Trust Land, NM",547,306,37,17,44,28,3,14,23,15,35,47,15,28,0,0,241,12,42,28,3,7,34,13,12,27,23,20,13,5,2,"Nambe Pueblo and Off-Reservation Trust Land, NM",109,59,25,10,23,15,4,10,13,11,17,28,9,16,12,12,60,12,18,18,3,6,18,12,11,14,15,10,10,6,4
"G2415","2010-2014",,,,,,,,,"Narragansett Reservation, RI","2415",,,,,,,,,,,,,,,,,,,,,,"Narragansett Reservation, RI",25,12,6,3,0,0,0,0,3,0,0,0,0,0,0,0,13,3,3,0,0,0,0,0,0,3,2,0,2,0,0,"Narragansett Reservation, RI",44,22,11,6,12,12,12,12,6,12,12,12,12,12,12,12,22,6,6,12,12,12,12,12,12,7,3,12,5,12,12
"G2430","2010-2014",,,,,,,,,"Navajo Nation Reservation and Off-Reservation Trust Land, AZ--NM--UT","2430",,,,,,,,,,,,,,,,,,,,,,"Navajo Nation Reservation and Off-Reservation Trust Land, AZ--NM--UT",166260,81133,6730,7043,7282,4810,3313,7342,6002,4653,9111,10284,7314,4330,2315,604,85127,6787,7139,7325,4591,3002,7074,5138,4408,9728,11204,8797,5663,3079,1192,"Navajo Nation Reservation and Off-Reservation Trust Land, AZ--NM--UT",2198,1291,375,382,281,246,223,361,284,227,342,354,317,170,147,109,1241,257,330,390,273,215,334,332,257,347,319,323,229,198,129
"G2445","2010-2014",,,,,,,,,"Nez Perce Reservation, ID","2445",,,,,,,,,,,,,,,,,,,,,,"Nez Perce Reservation, ID",2363,1162,152,69,86,70,51,61,121,94,152,80,146,59,13,8,1201,114,94,83,41,37,70,83,100,166,162,112,110,25,4,"Nez Perce Reservation, ID",216,145,35,26,30,40,36,37,37,62,36,30,30,40,13,11,118,25,38,33,22,23,34,39,30,36,37,39,15,13,5
"G2460","2010-2014",,,,,,,,,"Nisqually Reservation, WA","2460",,,,,,,,,,,,,,,,,,,,,,"Nisqually Reservation, WA",416,228,40,32,10,4,0,20,17,18,29,21,20,12,5,0,188,5,18,23,11,0,8,35,9,26,15,16,14,8,0,"Nisqually Reservation, WA",179,101,43,24,7,5,12,19,19,18,19,14,13,13,6,12,93,5,16,19,9,12,8,39,14,18,17,10,13,7,12
"G2475","2010-2014",,,,,,,,,"Nooksack Reservation and Off-Reservation Trust Land, WA","2475",,,,,,,,,,,,,,,,,,,,,,"Nooksack Reservation and Off-Reservation Trust Land, WA",676,303,50,15,25,9,7,41,45,4,32,38,19,17,0,1,373,74,33,4,34,12,41,37,14,32,55,19,15,3,0,"Nooksack Reservation and Off-Reservation Trust Land, WA",195,106,34,10,17,9,9,34,34,6,24,21,11,14,12,3,109,44,24,5,23,11,39,20,16,20,21,14,11,3,12
"G2490","2010-2014",,,,,,,,,"Northern Cheyenne Indian Reservation and Off-Reservation Trust Land, MT--SD","2490",,,,,,,,,,,,,,,,,,,,,,"Northern Cheyenne Indian Reservation and Off-Reservation Trust Land, MT--SD",4286,2038,221,270,279,124,86,152,118,114,192,207,144,89,24,18,2248,262,242,257,130,116,142,110,142,246,235,215,107,38,6,"Northern Cheyenne Indian Reservation and Off-Reservation Trust Land, MT--SD",286,147,46,53,55,31,17,40,35,22,47,32,26,30,15,14,200,70,55,60,35,24,39,36,41,40,46,33,29,11,6
"G2495","2010-2014",,,,,,,,,"North Fork Rancheria and Off-Reservation Trust Land, CA","2495",,,,,,,,,,,,,,,,,,,,,,"North Fork Rancheria and Off-Reservation Trust Land, CA",77,34,10,2,0,4,0,0,0,2,4,2,3,6,1,0,43,12,13,0,0,0,3,3,0,0,3,3,3,0,3,"North Fork Rancheria and Off-Reservation Trust Land, CA",54,25,14,7,12,7,12,12,12,8,7,3,6,11,4,12,37,16,19,12,12,12,5,6,12,12,4,6,6,12,5
"G2505","2010-2014",,,,,,,,,"Northwestern Shoshone Reservation, UT","2505",,,,,,,,,,,,,,,,,,,,,,"Northwestern Shoshone Reservation, UT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northwestern Shoshone Reservation, UT",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G2510","2010-2014",,,,,,,,,"Ohkay Owingeh, NM","2510",,,,,,,,,,,,,,,,,,,,,,"Ohkay Owingeh, NM",1652,855,36,65,118,54,23,60,62,52,127,111,67,53,15,12,797,32,31,56,40,45,56,37,55,95,118,94,68,62,8,"Ohkay Owingeh, NM",203,137,22,37,33,36,17,25,41,21,36,37,40,25,12,11,102,22,18,25,22,22,24,21,23,29,31,31,26,25,11
"G2535","2010-2014",,,,,,,,,"Oil Springs Reservation, NY","2535",,,,,,,,,,,,,,,,,,,,,,"Oil Springs Reservation, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oil Springs Reservation, NY",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G2550","2010-2014",,,,,,,,,"Omaha Reservation, NE--IA","2550",,,,,,,,,,,,,,,,,,,,,,"Omaha Reservation, NE--IA",2005,1022,125,148,121,60,45,81,77,51,87,78,82,50,17,0,983,119,102,116,47,29,110,79,45,102,91,77,49,10,7,"Omaha Reservation, NE--IA",149,88,24,29,26,16,16,23,17,17,18,20,19,17,11,11,87,27,22,24,14,12,21,17,13,22,18,20,12,8,6
"G2555","2010-2014",,,,,,,,,"Oneida Nation Reservation, NY","2555",,,,,,,,,,,,,,,,,,,,,,"Oneida Nation Reservation, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oneida Nation Reservation, NY",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G2560","2010-2014",,,,,,,,,"Oneida (WI) Reservation and Off-Reservation Trust Land, WI","2560",,,,,,,,,,,,,,,,,,,,,,"Oneida (WI) Reservation and Off-Reservation Trust Land, WI",3905,1719,119,232,198,119,79,103,81,56,141,273,200,33,75,10,2186,137,134,266,131,76,140,148,154,193,259,297,172,72,7,"Oneida (WI) Reservation and Off-Reservation Trust Land, WI",534,318,65,97,71,59,53,75,48,45,77,78,62,28,60,15,313,61,56,93,45,52,100,55,57,81,85,84,56,48,11
"G2570","2010-2014",,,,,,,,,"Onondaga Nation Reservation, NY","2570",,,,,,,,,,,,,,,,,,,,,,"Onondaga Nation Reservation, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Onondaga Nation Reservation, NY",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G2580","2010-2014",,,,,,,,,"Ontonagon Reservation, MI","2580",,,,,,,,,,,,,,,,,,,,,,"Ontonagon Reservation, MI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ontonagon Reservation, MI",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"G2595","2010-2014",,,,,,,,,"Osage Reservation, OK","2595",,,,,,,,,,,,,,,,,,,,,,"Osage Reservation, OK",7025,3484,324,335,330,161,118,239,211,238,285,452,391,286,111,3,3541,336,405,313,166,111,225,240,215,361,456,411,151,109,42,"Osage Reservation, OK",357,211,53,74,81,46,29,46,60,42,64,67,45,20,33,5,207,46,72,69,52,31,53,26,46,48,88,51,43,37,27
