GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,ABK3E001,ABK3E002,ABK3E003,ABK3E004,ABK3E005,ABK3E006,ABK3E007,ABK3E008,ABK3E009,ABK3E010,ABK3E011,ABK3E012,ABK3E013,ABK3E014,ABK3E015,ABK3E016,ABK3E017,ABK3E018,ABK3E019,ABK3E020,ABK3E021,ABK3E022,ABK3E023,ABK3E024,ABK3E025,ABK3E026,ABK3E027,ABK3E028,ABK3E029,ABK3E030,ABK3E031,NAME_M,ABK3M001,ABK3M002,ABK3M003,ABK3M004,ABK3M005,ABK3M006,ABK3M007,ABK3M008,ABK3M009,ABK3M010,ABK3M011,ABK3M012,ABK3M013,ABK3M014,ABK3M015,ABK3M016,ABK3M017,ABK3M018,ABK3M019,ABK3M020,ABK3M021,ABK3M022,ABK3M023,ABK3M024,ABK3M025,ABK3M026,ABK3M027,ABK3M028,ABK3M029,ABK3M030,ABK3M031
"G9350","2010-2014",,,,,,,,,"Schaghticoke (state) Reservation, CT","9350",,,,,,,,,,,,,,,,,,,,,,"Schaghticoke (state) Reservation, CT",8,7,0,0,0,0,0,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Schaghticoke (state) Reservation, CT",12,11,12,12,12,12,12,12,12,12,5,6,12,3,12,12,2,12,12,12,12,12,12,12,12,12,12,2,12,12,12
"G9370","2010-2014",,,,,,,,,"Shinnecock (state) Reservation, NY","9370",,,,,,,,,,,,,,,,,,,,,,"Shinnecock (state) Reservation, NY",201,97,9,0,15,7,14,9,0,0,14,14,12,0,3,0,104,8,4,15,0,6,21,5,7,4,10,10,4,0,10,"Shinnecock (state) Reservation, NY",114,57,11,11,19,9,18,13,11,11,15,15,11,11,7,11,67,10,8,21,11,9,21,9,9,6,13,10,8,11,9
"G9400","2010-2014",,,,,,,,,"Tama (state) Reservation, GA","9400",,,,,,,,,,,,,,,,,,,,,,"Tama (state) Reservation, GA",11,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,2,0,0,"Tama (state) Reservation, GA",17,10,13,13,13,13,13,13,13,13,13,10,5,13,13,13,8,13,13,13,13,13,13,13,13,13,13,5,7,13,13
"G9510","2010-2014",,,,,,,,,"Adais Caddo SDTSA, LA","9510",,,,,,,,,,,,,,,,,,,,,,"Adais Caddo SDTSA, LA",93,35,0,4,7,0,0,3,0,0,4,6,2,9,0,0,58,7,0,2,1,0,0,9,3,0,8,8,15,5,0,"Adais Caddo SDTSA, LA",48,23,12,6,12,12,12,4,12,12,6,8,4,7,12,12,34,10,12,4,2,12,12,13,5,12,8,7,14,6,12
"G9515","2010-2014",,,,,,,,,"Apache Choctaw SDTSA, LA","9515",,,,,,,,,,,,,,,,,,,,,,"Apache Choctaw SDTSA, LA",1331,651,83,47,39,28,38,50,18,20,68,111,75,30,38,6,680,47,36,81,41,39,41,53,59,80,67,61,41,34,0,"Apache Choctaw SDTSA, LA",189,98,29,27,21,18,28,31,22,16,28,27,27,21,23,9,117,35,16,34,27,23,23,21,22,37,22,22,28,23,17
"G9525","2010-2014",,,,,,,,,"Beaver Creek SDTSA, SC","9525",,,,,,,,,,,,,,,,,,,,,,"Beaver Creek SDTSA, SC",37,18,0,0,0,0,0,0,0,0,3,0,15,0,0,0,19,0,0,10,0,0,0,0,0,0,2,7,0,0,0,"Beaver Creek SDTSA, SC",36,17,12,12,12,12,12,12,12,12,6,12,13,12,12,12,25,12,12,20,12,12,12,12,12,12,4,9,12,12,12
"G9550","2010-2014",,,,,,,,,"Cher-O-Creek SDTSA, AL","9550",,,,,,,,,,,,,,,,,,,,,,"Cher-O-Creek SDTSA, AL",380,164,5,21,13,11,0,0,10,2,25,19,20,30,8,0,216,5,8,12,25,0,9,21,14,40,19,20,24,17,2,"Cher-O-Creek SDTSA, AL",87,48,6,14,14,15,27,27,10,5,17,10,14,15,7,27,64,6,8,14,17,27,8,13,15,24,11,11,12,8,4
"G9560","2010-2014",,,,,,,,,"Cherokee Tribe of Northeast Alabama SDTSA, AL","9560",,,,,,,,,,,,,,,,,,,,,,"Cherokee Tribe of Northeast Alabama SDTSA, AL",163,20,2,1,1,1,4,1,0,3,0,4,3,0,0,0,143,32,0,3,0,34,3,0,1,61,1,4,2,2,0,"Cherokee Tribe of Northeast Alabama SDTSA, AL",112,14,3,3,2,2,6,2,18,5,18,4,5,18,18,18,109,36,18,4,18,63,5,18,2,62,3,6,3,3,18
"G9580","2010-2014",,,,,,,,,"Chickahominy SDTSA, VA","9580",,,,,,,,,,,,,,,,,,,,,,"Chickahominy SDTSA, VA",406,176,2,5,3,4,6,6,7,7,23,39,28,30,16,0,230,5,2,9,18,8,12,5,7,34,39,32,36,14,9,"Chickahominy SDTSA, VA",67,29,3,6,4,6,6,5,7,7,11,13,6,8,8,12,45,6,3,8,12,7,6,6,7,13,11,11,8,5,5
"G9630","2010-2014",,,,,,,,,"Clifton Choctaw SDTSA, LA","9630",,,,,,,,,,,,,,,,,,,,,,"Clifton Choctaw SDTSA, LA",118,62,1,0,2,0,4,7,0,0,0,26,11,8,3,0,56,2,3,1,0,0,6,2,1,6,14,8,10,2,1,"Clifton Choctaw SDTSA, LA",57,37,2,12,4,12,7,13,12,12,12,18,18,8,5,12,34,4,6,3,12,12,9,4,3,8,14,10,6,3,2
"G9635","2010-2014",,,,,,,,,"Coharie SDTSA, NC","9635",,,,,,,,,,,,,,,,,,,,,,"Coharie SDTSA, NC",959,443,16,33,22,37,9,25,3,37,35,38,93,51,22,22,516,17,33,16,40,9,51,46,30,85,38,62,60,17,12,"Coharie SDTSA, NC",166,84,13,20,16,19,11,26,5,25,23,24,32,25,18,19,110,16,24,12,21,15,39,36,21,59,25,27,21,10,8
"G9675","2010-2014",,,,,,,,,"Eastern Chickahominy SDTSA, VA","9675",,,,,,,,,,,,,,,,,,,,,,"Eastern Chickahominy SDTSA, VA",58,37,2,6,1,0,0,0,0,2,10,2,2,12,0,0,21,2,1,2,0,0,0,0,0,4,5,5,2,0,0,"Eastern Chickahominy SDTSA, VA",45,30,4,7,4,12,12,12,12,4,13,4,4,12,12,12,21,3,3,4,12,12,12,12,12,7,7,6,4,12,12
"G9680","2010-2014",,,,,,,,,"Echota Cherokee SDTSA, AL","9680",,,,,,,,,,,,,,,,,,,,,,"Echota Cherokee SDTSA, AL",1981,976,101,69,126,18,44,105,61,58,114,169,103,8,0,0,1005,26,142,44,37,0,49,84,149,141,172,136,11,14,0,"Echota Cherokee SDTSA, AL",379,243,60,51,69,21,40,60,54,49,83,89,57,13,27,27,219,34,76,36,43,27,45,57,46,83,76,82,17,17,27
