"lat","long","FIPS_block","FIPS_county","FIPS_state","STname","API_status"
71.3012499,-156.7383903,"021850001001085","02185","02","AK","OK"
33.4977453,-112.1062603,"040131090031009","04013","04","AZ","OK"
61.5853224,-149.7804559,"021700004011091","02170","02","AK","OK"
42.9163983,-102.9170476,"310459506001021","31045","31","NE","OK"
44.0798069,-103.2170235,"461030102002000","46103","46","SD","OK"
35.0264256,-110.7025117,"040179606003098","04017","04","AZ","OK"
41.2125711,-95.9604827,"310550031004041","31055","31","NE","OK"
35.2337599,-111.482375,"040050013021037","04005","04","AZ","OK"
35.1942012,-111.653962,"040050010003007","04005","04","AZ","OK"
33.988583,-114.398404,"040129403004162","04012","04","AZ","OK"
43.0336917,-102.555689,"461139405002010","46113","46","SD","OK"
35.5212352,-108.7591679,"350319452003005","35031","35","NM","OK"
35.9132613,-94.9645,"400219781002060","40021","40","OK","OK"
64.8342418,-147.7179922,"020900003001018","02090","02","AK","OK"
61.5294447,-165.5918799,"022700001004056","02270","02","AK","OK"
42.3745404,-83.4456353,"261635628002007","26163","26","MI","OK"
